decades_since_2020_Sept,date,rank, rank_norm, title,main_artist,featured_artists
1e-06,2020-09-05,1,1.0,WAP,'Cardi B',"""'Megan Thee Stallion'"""
1e-06,2020-09-05,2,0.7071067811865475,Dynamite,'BTS',"""None"""
1e-06,2020-09-05,3,0.5773502691896258,Mood,'24kGoldn',"""'iann dior'"""
1e-06,2020-09-05,4,0.5,Hawai,'Maluma',"""None"""
1e-06,2020-09-05,5,0.4472135954999579,Laugh Now Cry Later,'Drake',"""'Lil Durk'"""
1e-06,2020-09-05,6,0.4082482904638631,Savage Love (Laxed - Siren Beat),'Jawsh 685',"""'Jason Derulo'"""
1e-06,2020-09-05,7,0.3779644730092272,Blinding Lights,'The Weeknd',"""None"""
1e-06,2020-09-05,8,0.35355339059327373,Ice Cream,'BLACKPINK',"""'Selena Gomez'"""
1e-06,2020-09-05,9,0.3333333333333333,Rockstar,'DaBaby',"""'Roddy Ricch'"""
1e-06,2020-09-05,10,0.31622776601683794,Watermelon Sugar,'Harry Styles',"""None"""
1e-06,2020-09-05,11,0.30151134457776363,Popstar,'DJ Khaled',"""'Drake'"""
1e-06,2020-09-05,12,0.2886751345948129,For The Night,'Pop Smoke',"""'Lil Baby', 'DaBaby'"""
1e-06,2020-09-05,13,0.2773500981126146,Relacion,'Sech',"""'Daddy Yankee', 'J Balvin', 'Rosalia', 'Farruko'"""
1e-06,2020-09-05,14,0.2672612419124244,Roses,'SAINt JHN',"""None"""
1e-06,2020-09-05,15,0.2581988897471611,Mood Swings,'Pop Smoke',"""'Lil Tjay'"""
1e-06,2020-09-05,16,0.25,Caramelo,'Ozuna',"""'Karol G', 'Myke Towers'"""
1e-06,2020-09-05,17,0.24253562503633297,Whats Poppin,'Jack Harlow',"""'DaBaby', 'Tory Lanez', 'Lil Wayne'"""
1e-06,2020-09-05,18,0.23570226039551587,Dance Monkey,'Tones And I',"""None"""
1e-06,2020-09-05,19,0.22941573387056174,Head & Heart,'Joel Corry',"""'MNEK'"""
1e-06,2020-09-05,20,0.22360679774997896,Heather,'Conan Gray',"""None"""
1e-06,2020-09-05,21,0.2182178902359924,Breaking Me,'Topic',"""'A7S'"""
1e-06,2020-09-05,22,0.21320071635561041,Rain On Me,'Lady Gaga',"""'Ariana Grande'"""
1e-06,2020-09-05,23,0.20851441405707477,Midnight Sky,'Miley Cyrus',"""None"""
1e-06,2020-09-05,24,0.20412414523193154,Lemonade,'Internet Money',"""'Gunna', 'Don Toliver', 'NAV'"""
1e-06,2020-09-05,25,0.2,"Ay, Dios Mio!",'Karol G',"""None"""
1e-06,2020-09-05,26,0.19611613513818404,Go Crazy,'Chris Brown',"""'Young Thug'"""
1e-06,2020-09-05,27,0.19245008972987526,Come & Go,'Juice WRLD',"""'Marshmello'"""
1e-06,2020-09-05,28,0.1889822365046136,Tattoo,'Rauw Alejandro',"""'Camilo'"""
1e-06,2020-09-05,29,0.18569533817705186,La Jeepeta,'Nio Garcia',"""'Anuel AA', 'Myke Towers', 'Brray', 'Juanka'"""
1e-06,2020-09-05,30,0.18257418583505536,You Broke Me First.,'Tate McRae',"""None"""
1e-06,2020-09-05,31,0.1796053020267749,Un Dia (One Day),'J Balvin',"""'Dua Lipa', 'Bad Bunny', 'Tainy'"""
1e-06,2020-09-05,32,0.17677669529663687,Someone You Loved,'Lewis Capaldi',"""None"""
1e-06,2020-09-05,33,0.17407765595569785,How You Like That,'BLACKPINK',"""None"""
1e-06,2020-09-05,34,0.17149858514250882,Before You Go,'Lewis Capaldi',"""None"""
1e-06,2020-09-05,35,0.1690308509457033,Kings & Queens,'Ava Ma x',"""None"""
1e-06,2020-09-05,36,0.16666666666666666,Hit Different,'SZA',"""'Ty Dolla $ign'"""
1e-06,2020-09-05,37,0.1643989873053573,Don't Start Now,'Dua Lipa',"""None"""
1e-06,2020-09-05,38,0.16222142113076254,Greece,'DJ Khaled',"""'Drake'"""
1e-06,2020-09-05,39,0.16012815380508713,Life Is Good,'Future',"""'Drake'"""
1e-06,2020-09-05,40,0.15811388300841897,The Woo,'Pop Smoke',"""'50 Cent', 'Roddy Ricch'"""
1e-06,2020-09-05,41,0.15617376188860607,La Curiosidad,'DJ Nelson Presenta Jay Wheeler',"""'Myke Towers'"""
1e-06,2020-09-05,42,0.1543033499620919,Tap In,'Saweetie',"""None"""
1e-06,2020-09-05,43,0.15249857033260467,Death Bed,'Powfu',"""'beabadoobee'"""
1e-06,2020-09-05,44,0.15075567228888181,Take You Dancing,'Jason Derulo',"""None"""
1e-06,2020-09-05,45,0.14907119849998599,Jerusalema,'Master KG',"""'Burna Boy', 'Nomcebo Zikode'"""
1e-06,2020-09-05,46,0.14744195615489714,Agua,'Tainy',"""'J Balvin'"""
1e-06,2020-09-05,47,0.14586499149789456,Break My Heart,'Dua Lipa',"""None"""
1e-06,2020-09-05,48,0.14433756729740646,Wishing Well,'Juice WRLD',"""None"""
1e-06,2020-09-05,49,0.14285714285714285,Smile,'Juice WRLD',"""'The Weeknd'"""
1e-06,2020-09-05,50,0.1414213562373095,Say So,'Doja Cat',"""None"""
1e-06,2020-09-05,51,0.14002800840280097,Circles,'Post Malone',"""None"""
1e-06,2020-09-05,52,0.1386750490563073,Savage,'Megan Thee Stallion',"""'Beyonce'"""
1e-06,2020-09-05,53,0.13736056394868904,Be Like That,'Kane Brown',"""'Swae Lee', 'Khalid'"""
1e-06,2020-09-05,54,0.13608276348795434,My Ex's Best Friend,'Machine Gun Kelly',"""'blackbear'"""
1e-06,2020-09-05,55,0.13483997249264842,Bad Guy,'Billie Eilish',"""None"""
1e-06,2020-09-05,56,0.1336306209562122,ily,'Surf Mesa',"""'Emilee'"""
1e-06,2020-09-05,57,0.13245323570650439,Djadja,'Aya Nakamura',"""'Maluma'"""
1e-06,2020-09-05,58,0.13130643285972254,Baby Shark,'Pinkfong',"""None"""
1e-06,2020-09-05,59,0.13018891098082389,Sunflower (Spider-Man: Into The Spider-Verse),'Post Malone',"""'Swae Lee'"""
1e-06,2020-09-05,60,0.12909944487358055,Stuck With U,'Ariana Grande',"""'Justin Bieber'"""
1e-06,2020-09-05,61,0.12803687993289598,Perfect,'Ed Sheeran',"""None"""
1e-06,2020-09-05,62,0.1270001270001905,Blueberry Faygo,'Lil Mosey',"""None"""
1e-06,2020-09-05,63,0.1259881576697424,Rags2Riches,'Rod Wave',"""'ATR Son Son'"""
1e-06,2020-09-05,64,0.125,Lithuania,'Big Sean',"""'Travis Scott'"""
1e-06,2020-09-05,65,0.12403473458920847,Mamacita,'Black Eyed Peas',"""'Ozuna', 'J.Rey Soul'"""
1e-06,2020-09-05,66,0.12309149097933272,Dior,'Pop Smoke',"""None"""
1e-06,2020-09-05,67,0.12216944435630522,Over Now,'Calvin Harris',"""'The Weeknd'"""
1e-06,2020-09-05,68,0.12126781251816648,Wolves,'Big Sean',"""'Post Malone'"""
1e-06,2020-09-05,69,0.1203858530857692,Party Girl,'StaySolidRocky',"""None"""
1e-06,2020-09-05,70,0.11952286093343936,The Box,'Roddy Ricch',"""None"""
1e-06,2020-09-05,71,0.11867816581938533,Adore You,'Harry Styles',"""None"""
1e-06,2020-09-05,72,0.11785113019775793,Senorita,'Shawn Mendes',"""'Camila Cabello'"""
1e-06,2020-09-05,73,0.11704114719613057,Toosie Slide,'Drake',"""None"""
1e-06,2020-09-05,74,0.11624763874381928,Memories,'Maroon 5',"""None"""
1e-06,2020-09-05,75,0.11547005383792514,Old Town Road,'Lil Nas X',"""'Billy Ray Cyrus'"""
