position,track,artist,featured_artists
1,WAP,Cardi B,Megan Thee Stallion
1,Dynamite,BTS,N/A
2,Mood,24kGoldn,iann dior
3,Hawai,Maluma,N/A
5,Laugh Now Cry Later,Drake,Lil Durk
1,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,N/A
2,Blinding Lights,The Weeknd,N/A
8,Ice Cream,BLACKPINK X Selena Gomez,N/A
8,Rockstar,DaBaby,Roddy Ricch
9,Watermelon Sugar,Harry Styles,N/A
11,Popstar,DJ Khaled,Drake
7,For The Night,Pop Smoke,Lil Baby & DaBaby
13,Relacion,"Sech, Daddy Yankee & J Balvin",Rosalia & Farruko
14,Roses,SAINt JHN,N/A
13,Mood Swings,Pop Smoke,Lil Tjay
16,Caramelo,Ozuna x Karol G x Myke Towers,N/A
17,Whats Poppin,Jack Harlow,"DaBaby, Tory Lanez & Lil Wayne"
16,Dance Monkey,Tones And I,N/A
17,Head & Heart,Joel Corry X MNEK,N/A
20,Heather,Conan Gray,N/A
21,Breaking Me,Topic & A7S,N/A
22,Rain On Me,Lady Gaga & Ariana Grande,N/A
15,Midnight Sky,Miley Cyrus,N/A
4,Lemonade,Internet Money & Gunna,Don Toliver & NAV
25,"Ay, Dios Mio!",Karol G,N/A
26,Go Crazy,Chris Brown & Young Thug,N/A
26,Come & Go,Juice WRLD x Marshmello,N/A
28,Tattoo,Rauw Alejandro x Camilo,N/A
29,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,N/A
16,You Broke Me First.,Tate McRae,N/A
30,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",N/A
24,Someone You Loved,Lewis Capaldi,N/A
24,How You Like That,BLACKPINK,N/A
32,Before You Go,Lewis Capaldi,N/A
31,Kings & Queens,Ava Max,N/A
36,Hit Different,SZA,Ty Dolla $ign
30,Don't Start Now,Dua Lipa,N/A
38,Greece,DJ Khaled,Drake
39,Life Is Good,Future,Drake
40,The Woo,Pop Smoke,50 Cent & Roddy Ricch
40,La Curiosidad,DJ Nelson Presenta Jay Wheeler & Myke Towers,N/A
42,Tap In,Saweetie,N/A
43,Death Bed,Powfu,beabadoobee
32,Take You Dancing,Jason Derulo,N/A
38,Jerusalema,Master KG,Burna Boy & Nomcebo Zikode
46,Agua,Tainy x J Balvin,N/A
47,Break My Heart,Dua Lipa,N/A
46,Wishing Well,Juice WRLD,N/A
49,Smile,Juice WRLD & The Weeknd,N/A
50,Say So,Doja Cat,N/A
49,Circles,Post Malone,N/A
52,Savage,Megan Thee Stallion,Beyonce
44,Be Like That,Kane Brown With Swae Lee & Khalid,N/A
25,My Ex's Best Friend,Machine Gun Kelly X blackbear,N/A
54,Bad Guy,Billie Eilish,N/A
56,ily,Surf Mesa,Emilee
57,Djadja,Aya Nakamura,Maluma
